description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Apply Resource delete lock on the resource group hosting the private cloud,azure-resources/AVS/privateClouds/recommendations.yaml,a5ef7c05-c611-4842-9af5-11efdc99123a,False,"[{'name': 'Lock your resources to protect your infrastructure', 'url': 'https://learn.microsoft.com/azure/azure-resource-manager/management/lock-resources'}]","Applying a resource delete lock to the Azure VMware Solution Private Cloud resource group prevents unauthorized or accidental deletion by anyone with contributor access, ensuring the protection and reliability of the Azure VMware Solution Private Cloud.
",True,Prevents accidental deletion,Governance,High,Disabled,Microsoft.AVS/privateClouds,,[]
Use key autorotation for vSAN datastore customer-managed keys,azure-resources/AVS/privateClouds/recommendations.yaml,e0ac2f57-c8c0-4b8c-a7c8-19e5797828b5,False,"[{'name': 'Configure Customer Managed Keys', 'url': 'https://learn.microsoft.com/azure/azure-vmware/configure-customer-managed-keys?tabs=azure-portal'}]","When using customer-managed keys for encrypting vSAN datastores, leveraging Azure Key Vault for central management and accessing them via a managed identity linked to the private cloud is advised. The expiration of these keys can render the vSAN datastore and its associated workloads inaccessible.
",True,Avoid outages with key auto-rotation,BusinessContinuity,High,Active,Microsoft.AVS/privateClouds,,[]
Use multiple DNS servers per private FQDN zone,azure-resources/AVS/privateClouds/recommendations.yaml,fcc2e257-23af-4c68-aac8-9cc03033c939,False,"[{'name': 'Configure DNS forwarder', 'url': 'https://learn.microsoft.com/azure/azure-vmware/configure-dns-azure-vmware-solution#configure-dns-forwarder'}]","Azure VMware Solution private clouds support up to three DNS servers for a single FQDN, preventing a single DNS server from becoming a point of failure. It's crucial to use multiple DNS servers for on-premises FQDN resolution from each private cloud.
",True,Enhances reliability and avoids failure,HighAvailability,High,Active,Microsoft.AVS/privateClouds,,[]
Migrate API Management services to Premium SKU to support Availability Zones,azure-resources/ApiManagement/service/recommendations.yaml,baf3bfc0-32a2-4c0c-926d-c9bf0b49808e,True,"[{'name': 'Change your API Management service tier', 'url': 'https://learn.microsoft.com/azure/api-management/upgrade-and-scale#change-your-api-management-service-tier'}]","Upgrading the API Management instance to the Premium SKU adds support for Availability Zones, enhancing availability and resilience by distributing services across physically separate locations within Azure regions.
",True,Enhanced availability and resilience,HighAvailability,High,Active,Microsoft.ApiManagement/service,,[]
Enable Availability Zones on Premium API Management instances,azure-resources/ApiManagement/service/recommendations.yaml,740f2c1c-8857-4648-80eb-47d2c56d5a50,True,"[{'name': 'Ensure API Management availability and reliability', 'url': 'https://learn.microsoft.com/azure/api-management/high-availability#availability-zones'}]","Zone redundancy for APIM instances ensures the gateway and control plane (Management API, developer portal, Git configuration) are replicated across datacenters in physically separated zones, boosting resilience to zone failures.
",True,Improved resilience to zone failures,HighAvailability,High,Active,Microsoft.ApiManagement/service,,[]
Azure API Management platform version should be stv2,azure-resources/ApiManagement/service/recommendations.yaml,e35cf148-8eee-49d1-a1c9-956160f99e0b,True,"[{'name': 'Azure API Management - stv1 platform retirement (August 2024)', 'url': 'https://learn.microsoft.com/azure/api-management/breaking-changes/stv1-platform-retirement-august-2024'}]","stv1 instances were deprecated on August 31, 2024. If not migrated to stv2 by then, auto-migration will occur. In some cases, due to technical limitations, services may be shut down in March 2025.
",True,Ensures service continuity,HighAvailability,High,Active,Microsoft.ApiManagement/service,,[]
Enable auto-scale for production workloads on API Management services,azure-resources/ApiManagement/service/recommendations.yaml,c79680ea-de85-44fa-a596-f31fa17a952f,False,"[{'name': 'Setting up auto-scale for Azure API Management', 'url': 'https://learn.microsoft.com/azure/api-management/api-management-howto-autoscale'}]","Use API Management with auto-scale for high availability in workloads that experience variable traffic patterns. There are several limitations with auto-scale, so review the documentation to ensure it meets your requirements.
",True,Enhanced availability and resilience,HighAvailability,Low,Active,Microsoft.ApiManagement/service,,[]
Configure API management service in multiple Azure regions,azure-resources/ApiManagement/service/recommendations.yaml,af4f88cb-35e8-4371-b29e-3a32b1d2f40a,False,"[{'name': 'Deploy API Management instance to multiple Azure regions', 'url': 'https://learn.microsoft.com/azure/api-management/api-management-howto-deploy-multi-region'}]","API Management multi-region deployment will help to reduce request latency perceived by geographically distributed API consumers and improves service availability if one region goes offline.
",True,Improve latency and provides business continuity,DisasterRecovery,High,Active,Microsoft.ApiManagement/service,2e4d65a3-1e77-4759-bcaa-13009484a97e,[]
Enable caching to improve performance in Azure API Management,azure-resources/ApiManagement/service/recommendations.yaml,badd9a1f-222a-498d-ab84-1f14892b1c1b,False,"[{'name': 'Add caching to improve performance in Azure API Management', 'url': 'https://learn.microsoft.com/azure/api-management/api-management-howto-cache'}]","Response caching can significantly reduce latency for API callers and backend load for API providers.
",False,Ensures service continuity and high availability,HighAvailability,Medium,Active,Microsoft.ApiManagement/service,,[]
Enable container health probes,azure-resources/App/containerApps/recommendations.yaml,8dbcd94b-0948-4df3-b608-1946726c3abf,False,"[{'name': 'Health probes for Azure Container Apps', 'url': 'https://learn.microsoft.com/azure/container-apps/health-probes?tabs=arm-template'}]","Enable container health probes to monitor the health of your container apps and ensure that unhealthy containers are restarted automatically.
",False,Enhanced availability and resilience,HighAvailability,Low,Active,Microsoft.App/containerApps,,[]
Deploy zone redundant Container app environments,azure-resources/App/managedEnvironments/recommendations.yaml,f4201965-a88d-449d-b3b4-021394719eb2,True,"[{'name': 'Reliability in Azure Container Apps', 'url': 'https://learn.microsoft.com/azure/reliability/reliability-azure-container-apps'}]","To take advantage of availability zones, you must enable zone redundancy when you create a Container Apps environment. The environment must include a virtual network with an available subnet. To ensure proper distribution of replicas, set your app's minimum replica count to three.
",False,Enhances app resiliency and reliability,HighAvailability,High,Active,Microsoft.App/managedenvironments,,[]
Enable Purge protection for Azure App Configuration,azure-resources/AppConfiguration/configurationStores/recommendations.yaml,bb4c8db4-f821-475b-b1ea-16e95358665e,True,"[{'name': 'Purge protection', 'url': 'https://learn.microsoft.com/azure/azure-app-configuration/concept-soft-delete#purge-protection'}]","With Purge protection enabled, soft deleted stores can't be purged in the retention period. If disabled, the soft deleted store can be purged before the retention period expires.
",False,Prevent accidental deletion of configuration stores.,OtherBestPractices,Low,Active,Microsoft.AppConfiguration/configurationStores,,[]
Upgrade to App Configuration Standard tier,azure-resources/AppConfiguration/configurationStores/recommendations.yaml,2102a57a-a056-4d5e-afe5-9df9f92177ca,True,"[{'name': 'Choose App Configuration tier', 'url': 'https://learn.microsoft.com/en-us/azure/azure-app-configuration/faq#which-app-configuration-tier-should-i-use'}]","SLA is not available for Free tier. Upgrade to the Standard tier to get an SLA of 99.9%
",False,"High availability, more storage, higher request quota.",HighAvailability,High,Active,Microsoft.AppConfiguration/configurationStores,,[]
Set up disaster recovery of Automation accounts and its dependent resources,azure-resources/Automation/automationAccounts/recommendations.yaml,67205887-0733-466e-b50e-b1cd7316c514,False,"[{'name': 'Disaster recovery for Automation accounts', 'url': 'https://learn.microsoft.com/azure/automation/automation-disaster-recovery?tabs=win-hrw%2Cps-script%2Coption-one'}]","Set up disaster recovery for Automation accounts and resources like Modules, Connections, Credentials, Certificates, Variables, and Schedules to deal with region or zone failures. A replica Automation account should be ready in a secondary region for failover.
",False,Ensures continuity during outages,HighAvailability,High,Active,Microsoft.Automation/automationAccounts,,[]
Monitor Batch Account quota,azure-resources/Batch/batchAccounts/recommendations.yaml,3464854d-6f75-4922-95e4-a2a308b53ce6,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/reliability/reliability-batch#cross-region-disaster-recovery-and-business-continuity'}]","To ensure cross-region disaster recovery and business continuity, set the right quotas for all Batch accounts to allocate necessary core numbers upfront, preventing execution interruptions from reaching quota limits.
",False,Ensures business continuity,MonitoringAndAlerting,Medium,Active,Microsoft.Batch/batchAccounts,,[]
Create an Azure Batch pool across Availability Zones,azure-resources/Batch/batchAccounts/recommendations.yaml,71cfab8f-d588-4742-b175-b6e07ae48dbd,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/batch/create-pool-availability-zones'}]","When using Virtual Machine Configuration for Azure Batch pools, opting to distribute your pool across Availability Zones bolsters your compute nodes against Azure datacenter failures.
",False,Enhanced reliability and failure protection,HighAvailability,High,Active,Microsoft.Batch/batchAccounts,,[]
Enable zone redundancy for Azure Cache for Redis,azure-resources/Cache/Redis/recommendations.yaml,5a44bd30-ae6a-4b81-9b68-dc3a8ffca4d8,True,"[{'name': 'Enable zone redundancy for Azure Cache for Redis', 'url': 'https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-zone-redundancy'}]","Azure Cache for Redis offers zone redundancy in Premium and Enterprise tiers, using VMs across multiple Availability Zones to ensure greater resilience and availability.
",False,Higher resilience and availability,HighAvailability,High,Active,Microsoft.Cache/Redis,,[]
Schedule updates by setting a maintenance window,azure-resources/Cache/Redis/recommendations.yaml,cabc1f98-c8a7-44f7-ab24-977982ef3f70,False,"[{'name': 'Schedule Redis Updates', 'url': 'https://learn.microsoft.com/azure/azure-cache-for-redis/cache-administration#update-channel-and-schedule-updates'}]","Azure Cache for Redis allows for specifying maintenance windows. A maintenance window allows you to control the days and times of a week during which the VMs hosting your cache can be updated.
",False,Higher resilience and availability,HighAvailability,Medium,Active,Microsoft.Cache/redis,,[]
Configure Private Endpoints,azure-resources/Cache/Redis/recommendations.yaml,c474fc96-4e6a-4fb0-95d0-a26b3f35933c,True,"[{'name': 'Configure private endpoints for Azure Redis Cache', 'url': 'https://learn.microsoft.com/azure/azure-cache-for-redis/cache-network-isolation'}]","Use private endpoints for secure connection to cache via a private link, avoiding the public internet.
",False,"Secure, private VNet ingress, efficient data transfer",Security,Medium,Disabled,Microsoft.Cache/redis,,[]
Use the latest API version and SDK version,azure-resources/Cdn/profiles/recommendations.yaml,52bc9a7b-23c8-bc4c-9d2a-7bc43b50104a,False,"[{'name': 'REST API Reference', 'url': 'https://learn.microsoft.com/rest/api/frontdoor/'}]","When working with Azure Front Door through APIs, ARM templates, Bicep, or SDKs, using the latest API or SDK version is crucial. Updates bring new functions, important security patches, and bug fixes.
",True,Enhanced security and features,Scalability,Medium,Active,Microsoft.Cdn/profiles,,[]
Configure logs,azure-resources/Cdn/profiles/recommendations.yaml,1ad74c3c-e3d7-0046-b83f-a2199974ef15,False,"[{'name': 'Monitor metrics and logs in Azure Front Door', 'url': 'https://learn.microsoft.com/azure/frontdoor/front-door-diagnostics?pivots=front-door-standard-premium'}]","Front Door logs offer comprehensive telemetry on each request, crucial for understanding your solution's performance and responses, especially when caching is enabled, as origin servers might not receive every request.
",True,Enhanced insights and solution monitoring,MonitoringAndAlerting,Medium,Active,Microsoft.Cdn/profiles,,[]
Use end-to-end TLS,azure-resources/Cdn/profiles/recommendations.yaml,d9bd6780-0d6f-cd4c-bc66-8ddcab12f3d1,True,"[{'name': 'End-to-end TLS with Azure Front Door', 'url': 'https://learn.microsoft.com/azure/frontdoor/end-to-end-tls?pivots=front-door-standard-premium'}]","Front Door terminates TCP and TLS connections from clients and establishes new connections from each PoP to the origin. Securing these connections with TLS, even for Azure-hosted origins, ensures data is always encrypted during transit.
",True,Ensures data encryption in transit,Security,High,Disabled,Microsoft.Cdn/profiles,,[]
Use HTTP to HTTPS redirection,azure-resources/Cdn/profiles/recommendations.yaml,24ab9f11-a3e4-3043-a985-22cf94c4933a,True,"[{'name': 'Create HTTP to HTTPS redirect rule', 'url': 'https://learn.microsoft.com/azure/frontdoor/front-door-how-to-redirect-https#create-http-to-https-redirect-rule'}]","Using HTTPS is ideal for secure connections. However, for compatibility with older clients, HTTP requests may be necessary. Azure Front Door enables auto redirection of HTTP to HTTPS, enhancing security without sacrificing accessibility.
",True,Enhances security and compliance,Security,High,Disabled,Microsoft.Cdn/profiles,,[]
Use managed TLS certificates,azure-resources/Cdn/profiles/recommendations.yaml,29d65c41-2fad-d142-95eb-9eab95f6c0a5,False,"[{'name': 'Configure HTTPS on an Azure Front Door custom domain using the Azure portal', 'url': 'https://learn.microsoft.com/azure/frontdoor/standard-premium/how-to-configure-https-custom-domain?tabs=powershell'}]","When Front Door manages your TLS certificates, it reduces your operational costs and helps you to avoid costly outages caused by forgetting to renew a certificate. Front Door automatically issues and rotates the managed TLS certificates.
",True,"Lowers costs, avoids outages",Security,High,Disabled,Microsoft.Cdn/profiles,,[]
Use latest version for customer-managed certificates,azure-resources/Cdn/profiles/recommendations.yaml,4638c2c0-03de-6d42-9e09-82ee4478cbf3,False,"[{'name': 'Select the certificate for Azure Front Door to deploy', 'url': 'https://learn.microsoft.com/azure/frontdoor/standard-premium/how-to-configure-https-custom-domain?tabs=powershell#select-the-certificate-for-azure-front-door-to-deploy'}]","If you use your own TLS certificates, set the Key Vault certificate version to 'Latest' to avoid reconfiguring Azure Front Door for new certificate versions and waiting for deployment across Front Door's environments.
",True,Saves time and automates TLS updates,HighAvailability,Medium,Disabled,Microsoft.Cdn/profiles,2c057605-4707-4d3e-bbb0-a7fe9b6a626b,[]
Use the same domain name on Front Door and your origin,azure-resources/Cdn/profiles/recommendations.yaml,cd6a32af-747a-e649-82a7-a98f528ca842,False,"[{'name': 'Preserve the original HTTP host name between a reverse proxy and its back-end web application', 'url': 'https://learn.microsoft.com/azure/architecture/best-practices/host-name-preservation'}]","Front Door can rewrite Host headers for custom domain names routing to a single origin, useful for avoiding custom domain configuration at both Front Door and the origin.
",True,Improves session/auth handling,Governance,Medium,Disabled,Microsoft.Cdn/profiles,,[]
Enable the WAF,azure-resources/Cdn/profiles/recommendations.yaml,1bd2b7e8-400f-e64a-99a2-c572f7b08a62,True,"[{'name': 'Web Application Firewall on Azure Front Door', 'url': 'https://learn.microsoft.com/azure/frontdoor/web-application-firewall'}]","For internet-facing applications, enabling the Front Door web application firewall (WAF) and configuring it to use managed rules is recommended for protection against a wide range of attacks using Microsoft-managed rules.
",True,Enhances web app security,Security,Medium,Disabled,Microsoft.Cdn/profiles,,[]
Disable health probes when there is only one origin in an origin group,azure-resources/Cdn/profiles/recommendations.yaml,38f3d542-6de6-a44b-86c6-97e3be690281,False,"[{'name': 'Health probes', 'url': 'https://learn.microsoft.com/azure/frontdoor/health-probes'}]","Front Door health probes help detect unavailable or unhealthy origins, directing traffic to alternate origins if needed.
",True,Reduces unnecessary origin traffic,HighAvailability,Low,Active,Microsoft.Cdn/profiles/originGroups,,[]
Select good health probe endpoints,azure-resources/Cdn/profiles/recommendations.yaml,5225bba3-28ec-1e43-8986-7eedfd466d65,False,"[{'name': 'Health Endpoint Monitoring pattern', 'url': 'https://learn.microsoft.com/azure/architecture/patterns/health-endpoint-monitoring'}]","Consider selecting a webpage or location specifically designed for health monitoring as the endpoint for Azure Front Door's health probes. This should encompass the status of critical components like application servers, databases, and caches to serve production traffic efficiently.
",True,Improves traffic routing and uptime,HighAvailability,Medium,Active,Microsoft.Cdn/profiles,,[]
Use HEAD health probes,azure-resources/Cdn/profiles/recommendations.yaml,5783defe-b49e-d947-84f7-d8677593f324,False,"[{'name': 'Supported HTTP methods for health probes', 'url': 'https://learn.microsoft.com/azure/frontdoor/health-probes#supported-http-methods-for-health-probes'}]","Health probes in Azure Front Door can use GET or HEAD HTTP methods. Using the HEAD method for health probes is a recommended practice because it reduces the traffic load on your origins, being less resource-intensive.
",True,Reduces traffic load on origins,Scalability,Medium,Active,Microsoft.Cdn/profiles,,[]
Use geo-filtering in Azure Front Door,azure-resources/Cdn/profiles/recommendations.yaml,b515690d-3bf9-3a49-8d38-188e0fd45896,False,"[{'name': 'Geo filter WAF policy - GeoMatch', 'url': 'https://learn.microsoft.com/azure/web-application-firewall/afds/waf-front-door-geo-filtering'}]","Azure Front Door's geo-filtering through WAF enables defining custom access rules by country/region to restrict or allow web app access.
",True,Enhanced regional access control,Security,Medium,Disabled,Microsoft.Cdn/profiles,,[]
Secure your Origin with Private Link in Azure Front Door,azure-resources/Cdn/profiles/recommendations.yaml,1cfe7834-56ec-ff41-b11d-993734705dba,False,"[{'name': 'Private link for Azure Front Door', 'url': 'https://learn.microsoft.com/azure/frontdoor/private-link'}]","Azure Private Link enables secure access to Azure PaaS and services over a private endpoint in your virtual network, ensuring traffic goes over the Microsoft backbone network, not the public internet.
",True,Enhanced security and private connectivity,Security,Medium,Disabled,Microsoft.Cdn/profiles,,[]
Avoid using Classic Azure Front Door,azure-resources/Cdn/profiles/recommendations.yaml,82fa3cff-74bd-4063-b726-834f160592fa,False,"[{'name': 'Compare pricing between Azure Front Door tiers', 'url': 'https://learn.microsoft.com/azure/frontdoor/understanding-pricing'}]","Azure Front Door standard is ~45% cheaper then AFD classic and has many additional benefits. Classic is also scheduled to be retired on March 31, 2027.
",False,Costs savings and additional supported features,ServiceUpgradeAndRetirement,High,Active,Microsoft.Cdn/profiles,,[]
Monitor Web Application Firewall,azure-resources/Cdn/profiles/recommendations.yaml,5357ae22-0f52-1a49-9fd4-1f00ace6add0,False,"[{'name': 'WAF monitoring', 'url': 'https://learn.microsoft.com/azure/web-application-firewall/afds/afds-overview#monitoring'}]","Monitoring the health of your Web Application Firewall and the applications it protects is crucial. This can be achieved through integration with Microsoft Defender for Cloud, Azure Monitor, and Azure Monitor logs, ensuring optimal performance and security.
",False,Enhanced security and health insight,MonitoringAndAlerting,High,Active,Microsoft.Cdn/profiles,,[]
Leverage Global provisioned deployment to ensure high and predictable throughput,azure-resources/CognitiveServices/accounts/recommendations.yaml,042c034e-2b85-4c1d-bf9a-65c75a6b43e9,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/ai-services/openai/how-to/deployment-types#global-provisioned'}]","Global provisioned deployments provide reserved model processing capacity for high and predictable throughput using Azure global infrastructure. Suitable for applications requiring lower latency variance at large workload usage. Provides cost savings.
",True,"Low latency variance, high throughputs, business continuity",HighAvailability,High,Active,Microsoft.CognitiveServices/Accounts,,[]
Ensure PAYG AOAI models leverage Global Standard deployment,azure-resources/CognitiveServices/accounts/recommendations.yaml,081fc8a4-b2d9-405b-b351-334e621016f5,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/ai-services/openai/how-to/deployment-types#global-standard'}]","Global Standard leverages Azure's global infrastructure to route traffic to the best available data center for customer's real-time inference requests. It provides the highest default quota and eliminates the need to load balance across multiple resources. Optimized for low to medium volume usage.
",True,"Best model availability, business continuity",HighAvailability,High,Active,Microsoft.CognitiveServices/Accounts,,[]
Deploy a PAYG instance of the model with provisioned throughput to manage overflow effectively,azure-resources/CognitiveServices/accounts/recommendations.yaml,0c193899-da60-4a52-b4a0-77d75ac8c5c5,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/ai-services/openai/concepts/provisioned-throughput'}]","Provisioned Throughput offers pre-allocated capacity for consistent workloads, while Pay-as-You-Go charges for actual usage, ideal for variable workloads. During overflow, the Pay-as-You-Go instance manages excess load, ensuring service efficiency.
",True,PAYG model balances cost and performance and helps scale,HighAvailability,High,Active,Microsoft.CognitiveServices/Accounts,,[]
Ensure that models are deployed using Global batch for large scale processing,azure-resources/CognitiveServices/accounts/recommendations.yaml,8aa9744b-f302-4b05-9776-51d6dd3d0c3a,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/ai-services/openai/how-to/deployment-types#global-batch'}]","Global batch efficiently handles large-scale tasks within 24 hours. Submit requests in a single file, with a separate quota to protect online workloads. Key uses: data processing, content generation, document review, customer support automation, data extraction, NLP tasks, and marketing.
",True,Cost effective faster turnaround for large-scale processing.,Scalability,High,Active,Microsoft.CognitiveServices/Accounts,,[]
Ensure AOAI models are deployed using Data Zone Standard for data residency requirements,azure-resources/CognitiveServices/accounts/recommendations.yaml,ac3add17-013e-41a5-af91-9fefce794a00,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/ai-services/openai/how-to/deployment-types#data-zone-standard'}]","Data zone deployments route customer traffic to the highest availability data center within the defined data zone, ensuring data at rest remains within the Azure OpenAI resource geography. This approach offers increased quota limits and ensures data processing occurs within the specified data zone.
",True,Enforce data residency and compliance standards,OtherBestPractices,High,Active,Microsoft.CognitiveServices/Accounts,,[]
Use comprehensive monitoring solution for AOAI service,azure-resources/CognitiveServices/accounts/recommendations.yaml,72b1b4ad-a14b-4430-9799-91bda782973d,False,"[{'name': 'Learn more', 'url': 'https://learn.microsoft.com/azure/architecture/ai-ml/openai/architecture/log-monitor-azure-openai'}]","Implementing a comprehensive monitoring solution for AOAI involves using Azure Monitor to track API usage, performance metrics, and security events. This setup helps optimize performance, manage costs, and ensure compliance by providing detailed insights into model usage and potential issues.
",False,Optimize performance and compliance with detailed insights,MonitoringAndAlerting,Medium,Active,Microsoft.CognitiveServices/Accounts,,[]
Deploy AOAI Service in multiple regions using Standard and/or Provisioned deployments,azure-resources/CognitiveServices/accounts/recommendations.yaml,61187af4-7d36-4b48-b16e-de78bef143a0,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/ai-services/openai/how-to/business-continuity-disaster-recovery'}]","If your service needs to always be available, design AOAI Service to either failover into another region or split the workload between two or more regions. Applications requiring high degrees of resiliency should consider this to strengthen their model infrastructure.
",False,Ensures business continuity during regional outages.,HighAvailability,High,Active,Microsoft.CognitiveServices/Accounts,,[]
Shared disks should only be enabled in clustered servers,azure-resources/Compute/disks/recommendations.yaml,3263a64a-c256-de48-9818-afd3cbc55c2a,True,"[{'name': 'Azure Shared Disk Introduction', 'url': 'https://learn.microsoft.com/azure/virtual-machines/disks-shared'}]","Azure shared disks let you attach a disk to multiple VMs at once for deploying or migrating clustered applications, suitable only when a disk is shared among VM cluster members.
",True,Enhances clustered server performance,OtherBestPractices,Medium,Active,Microsoft.Compute/disks,,[]
